outcome,group_a,group_b,a_less_percent,equal_percent,a_greater_percent,a_less_half_ties_percent,binned_overlap_percent,bin_edges
owned_land_acres,ST,SC,32.279160865124425,3.248543189465139,64.47229594541042,33.903432459856994,69.21938851757955,"[""-inf"", 0, 0.1, 0.5, 1, 2, 5, ""inf""]"
owned_land_acres,ST,OBC,44.0560705512395,2.3513065648506837,53.59262288390981,45.231723833664844,87.69659951274684,"[""-inf"", 0, 0.1, 0.5, 1, 2, 5, ""inf""]"
owned_land_acres,ST,Others,49.34659149437753,1.804365274397191,48.84904323122528,50.24877413157613,89.66035452477387,"[""-inf"", 0, 0.1, 0.5, 1, 2, 5, ""inf""]"
owned_land_acres,SC,OBC,59.36262535206984,4.019445759634074,36.617928888296085,61.372348231886875,80.75671093056486,"[""-inf"", 0, 0.1, 0.5, 1, 2, 5, ""inf""]"
owned_land_acres,SC,Others,65.22445416546113,2.9773522746790975,31.79819355985979,66.71313030280068,74.20381431574276,"[""-inf"", 0, 0.1, 0.5, 1, 2, 5, ""inf""]"
owned_land_acres,OBC,Others,54.053962077032615,2.12336846008087,43.82266946288652,55.11564630707305,91.46515325139295,"[""-inf"", 0, 0.1, 0.5, 1, 2, 5, ""inf""]"
consumption_pc_monthly,ST,SC,58.85688076692428,0.3670333866241203,40.77608584645161,59.040397460236335,86.23045590448378,"[""-inf"", 500, 1000, 1500, 2000, 3000, 5000, ""inf""]"
consumption_pc_monthly,ST,OBC,62.36877101362328,0.3414723909072961,37.28975659546941,62.53950720907693,80.96624482873676,"[""-inf"", 500, 1000, 1500, 2000, 3000, 5000, ""inf""]"
consumption_pc_monthly,ST,Others,71.33531409161948,0.27628510334377643,28.38840080503674,71.47345664329137,68.3301226928967,"[""-inf"", 500, 1000, 1500, 2000, 3000, 5000, ""inf""]"
consumption_pc_monthly,SC,OBC,53.663014600629324,0.44280378893980404,45.89418161043087,53.88441649509922,94.64925077980743,"[""-inf"", 500, 1000, 1500, 2000, 3000, 5000, ""inf""]"
consumption_pc_monthly,SC,Others,63.598961921526566,0.39876529383174597,36.0022727846417,63.79834456844243,82.09966678841218,"[""-inf"", 500, 1000, 1500, 2000, 3000, 5000, ""inf""]"
consumption_pc_monthly,OBC,Others,59.74721786359971,0.3566154266716386,39.896166709728654,59.925525576935534,87.3638778641605,"[""-inf"", 500, 1000, 1500, 2000, 3000, 5000, ""inf""]"
