outcome,group_a,group_b,a_less_percent,equal_percent,a_greater_percent,a_less_half_ties_percent,binned_overlap_percent,bin_edges
owned_land_acres,ST,SC,41.07363308125674,8.944293181589408,49.98207373715385,45.545779672051445,90.39699980030552,"[""-inf"", 0, 0.1, 0.5, 1, 2, 5, ""inf""]"
owned_land_acres,ST,OBC,58.35280774136456,5.499047462943483,36.14814479569196,61.10233147283629,76.45111837545328,"[""-inf"", 0, 0.1, 0.5, 1, 2, 5, ""inf""]"
owned_land_acres,ST,Others,74.58254807882918,2.2271383614489304,23.190313559721876,75.69611725955365,55.91683663759526,"[""-inf"", 0, 0.1, 0.5, 1, 2, 5, ""inf""]"
owned_land_acres,SC,OBC,64.14251649036777,5.955650606313019,29.90183290331921,67.12034179352428,75.03886688739686,"[""-inf"", 0, 0.1, 0.5, 1, 2, 5, ""inf""]"
owned_land_acres,SC,Others,80.48327499509598,2.312514013993525,17.2042109909105,81.63953200209274,53.34157386334755,"[""-inf"", 0, 0.1, 0.5, 1, 2, 5, ""inf""]"
owned_land_acres,OBC,Others,65.74985781623761,1.750902714925539,32.49923946883685,66.62530917370037,78.30270697595083,"[""-inf"", 0, 0.1, 0.5, 1, 2, 5, ""inf""]"
consumption_pc_monthly,ST,SC,31.89091719351837,2.939321068907106,65.16976173757452,33.36057772797192,67.52886535353356,"[""-inf"", 500, 1000, 1500, 2000, 3000, 5000, ""inf""]"
consumption_pc_monthly,ST,OBC,37.99224388825853,3.5245371543484394,58.483218957393035,39.75451246543275,71.97006879225124,"[""-inf"", 500, 1000, 1500, 2000, 3000, 5000, ""inf""]"
consumption_pc_monthly,ST,Others,53.5693573127261,2.3773395685851293,44.05330311868876,54.758027097018655,75.13845128450372,"[""-inf"", 500, 1000, 1500, 2000, 3000, 5000, ""inf""]"
consumption_pc_monthly,SC,OBC,54.85968753078021,2.5703979806087265,42.56991448861105,56.14488652108457,91.2573344220138,"[""-inf"", 500, 1000, 1500, 2000, 3000, 5000, ""inf""]"
consumption_pc_monthly,SC,Others,67.6249144461369,1.8963160299318969,30.478769523931206,68.57307246110284,75.15340603807371,"[""-inf"", 500, 1000, 1500, 2000, 3000, 5000, ""inf""]"
consumption_pc_monthly,OBC,Others,61.6815149224111,2.290662250164642,36.027822827424274,62.82684604749341,83.89607161605953,"[""-inf"", 500, 1000, 1500, 2000, 3000, 5000, ""inf""]"
