outcome,group,n,zero_percent,min,max,median,weight_only_effective_n
owned_land_acres,Others,14021,6.252655588122698,0.0,100.04,0.6,3359.0603576113976
owned_land_acres,ST,11067,7.822109105350177,0.0,61.85,0.72,1622.3830316104165
owned_land_acres,SC,9375,7.674427933845264,0.0,30.05,0.05,2702.14879978849
owned_land_acres,OBC,23510,7.390556896054392,0.0,68.03,0.42,6405.786905342879
consumption_pc_monthly,Others,14030,0.0,90.0,42033.0,1977.8333333333333,3363.407501997032
consumption_pc_monthly,ST,11079,0.0,216.71428571428572,19982.14285714286,1418.75,1625.7068967576781
consumption_pc_monthly,SC,9396,0.0,250.0,51700.0,1606.6,2714.4944393112432
consumption_pc_monthly,OBC,23530,0.0,65.0,59441.5,1700.0,6387.083015993818
