state,a,b,a_greater_pct,ties_pct,a_less_pct,a_auc
Andhra Pradesh,REDDY,REDDY,49.254321459821874,1.4913570803563083,49.25432145982184,0.5000000000000003
Andhra Pradesh,REDDY,KAPU,51.155327926106494,0.09024700111947266,48.75442507277405,0.5120045142666624
Andhra Pradesh,REDDY,MADIGA,49.28769431956085,0.09238751292176595,50.61991816751741,0.4933388807602173
Andhra Pradesh,REDDY,MALA,45.444429946190766,0.07824458638377013,54.477325467425494,0.4548355223938265
Andhra Pradesh,KAPU,REDDY,48.754425072774055,0.09024700111947279,51.155327926106466,0.4879954857333379
Andhra Pradesh,KAPU,KAPU,49.52084184570615,0.9583163085877136,49.52084184570613,0.5
Andhra Pradesh,KAPU,MADIGA,47.377332143085994,0.10069569080723773,52.521972166106764,0.4742767998848961
Andhra Pradesh,KAPU,MALA,40.68229075500612,0.10990663675903294,59.207802608234836,0.4073724407338564
Andhra Pradesh,MADIGA,REDDY,50.61991816751732,0.09238751292176615,49.28769431956091,0.5066611192397821
Andhra Pradesh,MADIGA,KAPU,52.52197216610672,0.10069569080723806,47.37733214308603,0.5257232001151034
Andhra Pradesh,MADIGA,MADIGA,49.59932582393506,0.8013483521298097,49.59932582393514,0.4999999999999996
Andhra Pradesh,MADIGA,MALA,41.597303461932576,0.07141883419077762,58.33127770387665,0.41633012879027964
Andhra Pradesh,MALA,REDDY,54.477325467425516,0.07824458638377033,45.444429946190716,0.545164477606174
Andhra Pradesh,MALA,KAPU,59.20780260823486,0.10990663675903266,40.68229075500611,0.5926275592661437
Andhra Pradesh,MALA,MADIGA,58.33127770387661,0.071418834190777,41.59730346193263,0.5836698712097199
Andhra Pradesh,MALA,MALA,49.4957227048155,1.0085545903690616,49.49572270481545,0.5000000000000003
Assam,MUSLIM,MUSLIM,49.35407481493631,1.2918503701273083,49.354074814936354,0.49999999999999967
Bihar,YADAV,YADAV,49.35447053291538,1.291058934169239,49.35447053291537,0.5
Chhattisgarh,TELI,TELI,49.58541679912877,0.8291664017424955,49.585416799128716,0.5000000000000002
Gujarat,HINDU,HINDU,49.45984076405624,1.0803184718874896,49.45984076405626,0.49999999999999983
Gujarat,HINDU,PATEL,47.90270374352348,0.0905535658758445,52.00674269060066,0.47947980526461403
Gujarat,PATEL,HINDU,52.006742690600625,0.09055356587584457,47.902703743523524,0.5205201947353855
Gujarat,PATEL,PATEL,49.37411292729374,1.2517741454125062,49.37411292729376,0.4999999999999999
Haryana,HARIJAN,HARIJAN,49.324616768490635,1.3507664630188019,49.32461676849056,0.5000000000000003
Haryana,HARIJAN,JAT,25.411211983839255,0.039238932508531624,74.54954908365222,0.2543083145009352
Haryana,HARIJAN,JAAT,29.6516014429138,0.02080962315425362,70.32758893393196,0.29662006254490925
Haryana,JAT,HARIJAN,74.54954908365231,0.0392389325085317,25.411211983839166,0.7456916854990657
Haryana,JAT,JAT,49.27677787948951,1.446444241021033,49.276777879489465,0.5000000000000002
Haryana,JAT,JAAT,51.952088448834324,0.0,48.047911551165676,0.5195208844883432
Haryana,JAAT,HARIJAN,70.32758893393203,0.02080962315425366,29.651601442913734,0.7033799374550915
Haryana,JAAT,JAT,48.04791155116568,0.0,51.952088448834324,0.48047911551165684
Haryana,JAAT,JAAT,49.4106257723884,1.1787484552231764,49.41062577238842,0.4999999999999999
Himachal Pradesh,HARIJAN,HARIJAN,49.723021918329415,0.5539561633411288,49.72302191832944,0.4999999999999998
Himachal Pradesh,HARIJAN,RAJPUT,43.4133973256858,0.005410506715092116,56.58119216759907,0.4341610257904334
Himachal Pradesh,HARIJAN,RAJPOOT,37.209192428543794,0.005156037179293103,62.78565153427689,0.37211770447133435
Himachal Pradesh,RAJPUT,HARIJAN,56.58119216759907,0.0054105067150921286,43.41339732568585,0.5658389742095662
Himachal Pradesh,RAJPUT,RAJPUT,49.79856732963591,0.4028653407281502,49.79856732963595,0.49999999999999983
Himachal Pradesh,RAJPUT,RAJPOOT,43.2318753146253,0.013746073741610958,56.75437861163309,0.43238748351496104
Himachal Pradesh,RAJPOOT,HARIJAN,62.7856515342769,0.005156037179293077,37.20919242854382,0.6278822955286655
Himachal Pradesh,RAJPOOT,RAJPUT,56.75437861163307,0.013746073741610935,43.23187531462532,0.5676125164850387
Himachal Pradesh,RAJPOOT,RAJPOOT,49.61255278220794,0.7748944355841318,49.61255278220793,0.5000000000000001
Karnataka,ADIKARNATAKA,ADIKARNATAKA,49.42609345398285,1.1478130920342795,49.426093453982865,0.4999999999999999
Karnataka,ADIKARNATAKA,MUSLIM,45.42158182673444,0.023605730158529743,54.554812443107025,0.454333846918137
Karnataka,ADIKARNATAKA,NAYAKA,49.55879378834101,0.0340610273699746,50.40714518428899,0.49575824302026
Karnataka,ADIKARNATAKA,KURUBA,45.89097390128127,0.035957292859514114,54.0730688058592,0.4590895254771103
Karnataka,ADIKARNATAKA,GOWDA,42.65027287721503,0.019124831166209503,57.330602291618746,0.4265983529279813
Karnataka,ADIKARNATAKA,LINGAYATH,41.06280629999463,0.05135390799561511,58.88583979200974,0.4108848325399243
