outcome,group,value,percent
owned_land_acres,Others,1.38,66.05651616215299
owned_land_acres,Others,1.39,66.07184328978069
owned_land_acres,Others,1.4,66.1843889472684
owned_land_acres,Others,1.41,66.23263415265583
owned_land_acres,Others,1.42,66.38261589426992
owned_land_acres,Others,1.43,66.43047689267547
owned_land_acres,Others,1.44,66.48678680341723
owned_land_acres,Others,1.45,66.54119225235921
owned_land_acres,Others,1.46,66.66535416028394
owned_land_acres,Others,1.47,66.67449231584897
owned_land_acres,Others,1.48,66.75527216846044
owned_land_acres,Others,1.49,66.95657590387547
owned_land_acres,Others,1.5,67.10483987883156
owned_land_acres,Others,1.51,67.38083176475817
owned_land_acres,Others,1.52,67.96259457639425
owned_land_acres,Others,1.53,68.41956302454284
owned_land_acres,Others,1.54,68.57086151175747
owned_land_acres,Others,1.55,68.68195481330571
owned_land_acres,Others,1.56,68.8313373526721
owned_land_acres,Others,1.57,68.87809253109405
owned_land_acres,Others,1.58,68.93702618729884
owned_land_acres,Others,1.59,68.97062791252024
owned_land_acres,Others,1.6,69.04186550949859
owned_land_acres,Others,1.61,69.29845665637751
owned_land_acres,Others,1.62,69.42737927703058
owned_land_acres,Others,1.63,69.51393808458134
owned_land_acres,Others,1.64,69.59572431851923
owned_land_acres,Others,1.65,69.84552761237592
owned_land_acres,Others,1.66,69.92539821975366
owned_land_acres,Others,1.67,69.95479856799989
owned_land_acres,Others,1.68,70.0377886683303
owned_land_acres,Others,1.69,70.10277266079619
owned_land_acres,Others,1.7,70.19147994843472
owned_land_acres,Others,1.71,70.30316811484171
owned_land_acres,Others,1.72,70.30445773837448
owned_land_acres,Others,1.73,70.46786862512585
owned_land_acres,Others,1.74,70.56854705264702
owned_land_acres,Others,1.75,70.6687012719105
owned_land_acres,Others,1.76,70.79149703619414
owned_land_acres,Others,1.77,70.85324110622973
owned_land_acres,Others,1.78,70.93877315743572
owned_land_acres,Others,1.79,70.99604663786876
owned_land_acres,Others,1.8,71.08439874154764
owned_land_acres,Others,1.81,71.17874905249852
owned_land_acres,Others,1.82,71.23269554143471
owned_land_acres,Others,1.83,71.25008673071017
owned_land_acres,Others,1.84,71.32569585346992
owned_land_acres,Others,1.85,71.39984606065886
owned_land_acres,Others,1.86,71.46986918873844
