state,reported_label,n,psus,weight_ess,median,p10,p90,below_2000_pct,below_5000_pct
Uttar Pradesh,CHAMAR,173,60,98.74768279676972,610.9722222222223,214.7222222222222,1358.75,93.0448658675054,98.64584601477313
Bihar,YADAV,107,25,79.79342631646362,692.3611111111112,200.0,2181.6666666666665,88.92283096670094,99.10119661557121
Uttar Pradesh,MUSLIM,252,58,184.4107866631692,786.2777777777778,287.5,2100.0,87.0840624680923,97.64395441043426
Madhya Pradesh,HARIJAN,185,53,151.60603449029736,799.1666666666666,341.6666666666667,1958.3333333333333,90.16211793712277,99.05558406079855
Uttar Pradesh,HARIJAN,125,41,66.416317641285,827.0833333333334,323.2407407407407,2739.5833333333335,86.37701439016634,99.99999999999997
Chhattisgarh,TELI,166,29,120.60305360884104,864.5,324.40000000000003,2508.2083333333335,83.3317970952115,94.34337834519475
Orissa,HARIJAN,104,43,86.9858919158581,968.75,380.0,2118.0555555555557,88.3612112370018,98.56162523951194
Uttar Pradesh,YADAV,169,53,108.02460837687202,1027.2222222222222,330.625,2602.5,78.99660562807318,97.41448469530508
Orissa,KHANDAYAT,170,41,72.30063014226451,1042.2222222222222,381.5,4366.666666666667,79.68271703699517,91.05859566759422
Maharashtra,KUNBI,215,34,156.62525415761425,1060.0,415.27777777777777,3550.0,78.67772932517416,93.88581123958353
West Bengal,MUSLIM,119,26,92.18473534969301,1085.0,530.7291666666666,3095.8333333333335,80.77838744153397,95.19069784520853
Andhra Pradesh,REDDY,106,44,69.31653301838872,1097.2222222222222,-336.6666666666667,5319.444444444444,63.11843325657114,86.8501923915571
Andhra Pradesh,KAPU,133,48,109.83707554726558,1102.0833333333333,193.33333333333334,2500.0,79.27849598992992,96.39011145706536
Karnataka,ADIKARNATAKA,112,46,89.19611834277836,1187.5,539.3055555555555,3645.8333333333335,78.67065906358742,93.17235045819014
Assam,MUSLIM,105,21,79.62904104554909,1234.0277777777778,675.4333333333333,3101.0,79.14715092893306,95.15737824161879
Andhra Pradesh,MADIGA,192,67,138.5098328921633,1254.1666666666667,500.0,2294.4444444444443,83.65579407652619,98.3477580291316
Rajasthan,RAJPUT,166,52,119.77734204776445,1310.4166666666667,372.5,3416.6666666666665,69.48986613238421,95.21716271161544
Karnataka,MUSLIM,133,54,88.12061065717187,1330.5555555555554,622.5,4104.166666666667,79.12310287906769,95.49426393643013
Karnataka,NAYAKA,129,45,109.49976588294548,1331.25,400.0,3589.722222222222,66.87259138488396,93.58650959743343
Haryana,HARIJAN,132,39,78.893326718086,1333.3333333333333,570.2083333333334,3643.75,72.23524971896705,98.11053000032175
Karnataka,KURUBA,131,52,94.85855670552016,1437.7777777777776,453.1666666666667,5338.333333333333,69.10692683442701,89.97280973894068
Karnataka,GOWDA,130,46,91.47193241133863,1480.5555555555557,166.66666666666666,6000.0,58.89415942767502,87.62664144270998
Andhra Pradesh,MALA,168,73,115.34351074096084,1497.9166666666667,275.0,3000.0,71.85516921528227,96.0120735299899
Maharashtra,MAHAR,235,91,194.1200011737542,1553.4722222222224,635.0,4581.145833333333,62.626490713761754,90.0486677252612
Himachal Pradesh,HARIJAN,231,49,182.2653286804815,1608.3333333333333,580.0,5987.083333333333,58.51000303290594,87.42844323347698
Maharashtra,MALI,122,37,105.78420843645026,1666.6666666666667,506.6666666666667,6154.166666666667,54.680087397684844,80.32802193904512
Punjab,CHAMAR,110,25,100.24012955266652,1666.6666666666667,708.3333333333334,5416.666666666667,54.061521355634135,88.3474128355445
Karnataka,LINGAYATH,122,57,88.16529425107014,1698.1833333333334,444.1666666666667,4893.75,58.401714024409934,91.438442988541
Gujarat,HINDU,113,45,98.70304971551697,1805.0,504.1666666666667,5041.666666666667,53.5358718466493,88.80979443666759
Tamil Nadu,NADAR,114,36,84.69808096001229,1882.142857142857,495.0,4916.666666666667,51.301944690709774,90.45708066741793
Maharashtra,MUSLIM,115,44,97.75277672818444,1916.6666666666667,796.875,4125.0,51.04497765473697,95.13386023209455
Gujarat,PATEL,116,39,92.77461192206202,1944.4444444444443,362.84722222222223,8685.0,51.277313335256956,80.27162949822761
Himachal Pradesh,RAJPUT,322,41,250.66862736610628,2022.9166666666667,683.0952380952381,7354.166666666667,48.472939296191726,81.59697494741306
Rajasthan,JAT,109,26,100.85184890707819,2038.0208333333333,438.3928571428571,8286.666666666666,49.01828263501924,76.29731930785587
Kerala,SUNNI,164,24,150.42180099686882,2300.0,1032.2916666666667,5104.166666666667,40.179305042930466,87.41873530881335
Maharashtra,MARATHA,923,122,716.0257399246342,2312.5,625.0,6222.222222222223,43.01285698621889,81.54991354049805
Punjab,SIKH,156,28,108.43791723025836,2500.0,666.6666666666666,7291.666666666667,41.619971281226334,81.66687798683003
Himachal Pradesh,RAJPOOT,181,23,129.9266303524388,2531.25,701.875,7343.75,36.80248318649073,77.04378126105938
Haryana,JAT,102,28,69.13505350846488,2536.8055555555557,1060.4166666666667,8402.777777777777,34.3733117624442,72.38195822369174
Kerala,EZHAVA,212,60,156.5985274769275,2689.7916666666665,878.5714285714286,7166.666666666667,31.98471662036627,81.02072375806429
Haryana,JAAT,122,31,84.83574214404088,2879.1666666666665,470.8333333333333,7716.666666666667,34.553463872913134,77.74469707403414
West Bengal,BRAHMIN,103,49,84.42309749246195,3270.8333333333335,800.0,10500.0,30.640942350387668,64.78533955556169
Punjab,JAAT,134,29,66.9504497073198,3543.6111111111113,1388.75,17916.666666666668,23.063579138746675,61.35768513691053
Kerala,NAIR,160,52,113.22012235219933,3885.4166666666665,530.8333333333334,8350.0,19.91922172792919,60.10058482194077
