outcome,group,relation,threshold,percent,n,n_missing,psus,weight_sum,missing_weight_percent,missing_bound_low,missing_bound_high,ci_low,ci_high
owned_land_acres,OBC,<=,0.5,66.25244697563612,3010,3,452,9181558.52,0.006773990106654972,66.24795904143257,66.25473303153923,62.830953476516825,69.91133336952767
owned_land_acres,OBC,<,1.0,82.88230101048248,3010,3,452,9181558.52,0.006773990106654972,82.87668657161187,82.88346056171852,80.50991674996943,85.10448765572887
owned_land_acres,OBC,<=,1.0,82.9992297429696,3010,3,452,9181558.52,0.006773990106654972,82.99360738335822,83.00038137346488,80.62605171384145,85.18477989424427
owned_land_acres,OBC,<,2.0,93.04744746102213,3010,3,452,9181558.52,0.006773990106654972,93.04114443613662,93.04791842624327,91.7973481509687,94.22855744162509
owned_land_acres,OBC,<=,2.0,93.09142637801322,3010,3,452,9181558.52,0.006773990106654972,93.08512037400024,93.0918943641069,91.81985585407762,94.2865502252062
owned_land_acres,OBC,<,5.0,99.18763366984453,3010,3,452,9181558.52,0.006773990106654972,99.1809147093527,99.18768869945937,98.92750589852052,99.42229688920172
owned_land_acres,OBC,<=,5.0,99.20498911115146,3010,3,452,9181558.52,0.006773990106654972,99.19826897500376,99.20504296511042,98.93430013033671,99.44254990079219
owned_land_acres,Others,<,0.0,0.0,929,0,220,1975924.48,0.0,0.0,0.0,0.0,0.0
owned_land_acres,Others,<=,0.0,0.016734445235477825,929,0,220,1975924.48,0.0,0.016734445235477825,0.016734445235477825,0.0,0.04607703940433804
owned_land_acres,Others,<,0.1,23.387015277021113,929,0,220,1975924.48,0.0,23.387015277021113,23.387015277021113,14.885723894872168,32.64234902589312
owned_land_acres,Others,<=,0.1,24.959342575683866,929,0,220,1975924.48,0.0,24.959342575683863,24.959342575683863,16.114788669919374,34.52523745268153
owned_land_acres,Others,<,0.5,45.901720393686304,929,0,220,1975924.48,0.0,45.901720393686304,45.901720393686304,36.82115509489753,54.36919553273262
owned_land_acres,Others,<=,0.5,46.01031513107222,929,0,220,1975924.48,0.0,46.01031513107222,46.01031513107222,36.84390064869537,54.60657348707242
owned_land_acres,Others,<,1.0,64.13939868794985,929,0,220,1975924.48,0.0,64.13939868794985,64.13939868794985,55.8749639048507,71.24865769391924
owned_land_acres,Others,<=,1.0,64.13939868794985,929,0,220,1975924.48,0.0,64.13939868794985,64.13939868794985,55.8749639048507,71.24865769391924
owned_land_acres,Others,<,2.0,78.44797540035539,929,0,220,1975924.48,0.0,78.44797540035539,78.44797540035539,72.215518951089,83.30398446092613
owned_land_acres,Others,<=,2.0,78.46532575981851,929,0,220,1975924.48,0.0,78.46532575981851,78.46532575981851,72.25156896585845,83.31670249552171
owned_land_acres,Others,<,5.0,94.96374324994444,929,0,220,1975924.48,0.0,94.96374324994446,94.96374324994446,92.78730380934505,96.65121706675298
owned_land_acres,Others,<=,5.0,95.05638343020074,929,0,220,1975924.48,0.0,95.05638343020074,95.05638343020074,92.89104570636368,96.77981070699677
consumption_pc_monthly,ST,<,500.0,0.0,130,0,34,343737.67000000004,0.0,0.0,0.0,0.0,0.0
consumption_pc_monthly,ST,<=,500.0,0.0,130,0,34,343737.67000000004,0.0,0.0,0.0,0.0,0.0
consumption_pc_monthly,ST,<,1000.0,3.4474109282232575,130,0,34,343737.67000000004,0.0,3.447410928223258,3.447410928223258,0.49623802463084027,9.560130938321493
consumption_pc_monthly,ST,<=,1000.0,9.737920199435807,130,0,34,343737.67000000004,0.0,9.737920199435807,9.737920199435807,2.809511758935618,23.38088224453781
consumption_pc_monthly,ST,<,1500.0,34.167375370875114,130,0,34,343737.67000000004,0.0,34.167375370875114,34.167375370875114,20.466075818405635,57.8255148184939
consumption_pc_monthly,ST,<=,1500.0,54.17655853663056,130,0,34,343737.67000000004,0.0,54.17655853663056,54.17655853663056,34.44723928450572,82.04616957472838
consumption_pc_monthly,ST,<,2000.0,91.66559196145128,130,0,34,343737.67000000004,0.0,91.66559196145128,91.66559196145128,82.47054612239329,97.55157695392741
consumption_pc_monthly,ST,<=,2000.0,94.45471018640461,130,0,34,343737.67000000004,0.0,94.45471018640461,94.45471018640461,85.77814848378823,99.16817688057108
consumption_pc_monthly,ST,<,3000.0,99.64216898310852,130,0,34,343737.67000000004,0.0,99.64216898310853,99.64216898310853,99.02901026644665,100.0
consumption_pc_monthly,ST,<=,3000.0,99.64216898310852,130,0,34,343737.67000000004,0.0,99.64216898310853,99.64216898310853,99.02901026644665,100.0
consumption_pc_monthly,ST,<,5000.0,100.0,130,0,34,343737.67000000004,0.0,100.00000000000001,100.00000000000001,100.0,100.00000000000001
consumption_pc_monthly,ST,<=,5000.0,100.0,130,0,34,343737.67000000004,0.0,100.00000000000001,100.00000000000001,100.0,100.00000000000001
consumption_pc_monthly,SC,<,500.0,0.07378939553686825,1039,0,281,4296687.86,0.0,0.07378939553686825,0.07378939553686825,0.0,0.2545970688210644
consumption_pc_monthly,SC,<=,500.0,0.09180327099674399,1039,0,281,4296687.86,0.0,0.09180327099674399,0.09180327099674399,0.0,0.2765877757906116
consumption_pc_monthly,SC,<,1000.0,11.856247802929767,1039,0,281,4296687.86,0.0,11.856247802929765,11.856247802929765,8.608302122188066,15.262122241646734
consumption_pc_monthly,SC,<=,1000.0,19.128707664605642,1039,0,281,4296687.86,0.0,19.128707664605642,19.128707664605642,14.831118767479364,23.94514667943361
consumption_pc_monthly,SC,<,1500.0,66.6385100173416,1039,0,281,4296687.86,0.0,66.6385100173416,66.6385100173416,60.88046247742271,72.48910449723384
consumption_pc_monthly,SC,<=,1500.0,75.71019575994985,1039,0,281,4296687.86,0.0,75.71019575994984,75.71019575994984,70.67291417051598,80.73372381610544
consumption_pc_monthly,SC,<,2000.0,92.64015561977547,1039,0,281,4296687.86,0.0,92.64015561977546,92.64015561977546,89.47526630372526,95.29561957254275
consumption_pc_monthly,SC,<=,2000.0,96.29284543839309,1039,0,281,4296687.86,0.0,96.29284543839309,96.29284543839309,94.14479616473672,98.01690334078525
consumption_pc_monthly,SC,<,3000.0,99.77681925444777,1039,0,281,4296687.86,0.0,99.77681925444777,99.77681925444777,99.45639112299463,99.99917853182077
consumption_pc_monthly,SC,<=,3000.0,99.86690911263915,1039,0,281,4296687.86,0.0,99.86690911263915,99.86690911263915,99.64386390515766,100.0
consumption_pc_monthly,SC,<,5000.0,100.0,1039,0,281,4296687.86,0.0,100.0,100.0,100.0,100.0
consumption_pc_monthly,SC,<=,5000.0,100.0,1039,0,281,4296687.86,0.0,100.0,100.0,100.0,100.0
consumption_pc_monthly,OBC,<,500.0,0.017909689277160933,3013,0,452,9182180.52,0.0,0.017909689277160933,0.017909689277160933,0.0,0.0570641536177312
consumption_pc_monthly,OBC,<=,500.0,0.13830701729658437,3013,0,452,9182180.52,0.0,0.13830701729658437,0.13830701729658437,0.0,0.39349888261305294
consumption_pc_monthly,OBC,<,1000.0,8.000023942025482,3013,0,452,9182180.52,0.0,8.000023942025482,8.000023942025482,5.721057239735102,10.555442749294338
consumption_pc_monthly,OBC,<=,1000.0,17.588778683693317,3013,0,452,9182180.52,0.0,17.588778683693317,17.588778683693317,14.560632946410879,20.854465787061002
consumption_pc_monthly,OBC,<,1500.0,57.89584443935546,3013,0,452,9182180.52,0.0,57.89584443935546,57.89584443935546,54.05715185624413,61.45241264613608
consumption_pc_monthly,OBC,<=,1500.0,69.10186383484432,3013,0,452,9182180.52,0.0,69.10186383484432,69.10186383484432,65.61982517276024,72.38493617951688
consumption_pc_monthly,OBC,<,2000.0,87.36412982218303,3013,0,452,9182180.52,0.0,87.36412982218305,87.36412982218305,84.9475876081634,89.50163565645782
consumption_pc_monthly,OBC,<=,2000.0,92.16032086896936,3013,0,452,9182180.52,0.0,92.16032086896936,92.16032086896936,90.22989942129264,93.95063420121318
consumption_pc_monthly,OBC,<,3000.0,98.75846254871931,3013,0,452,9182180.52,0.0,98.75846254871931,98.75846254871931,97.96353750375286,99.35538131840941
consumption_pc_monthly,OBC,<=,3000.0,98.95262525289581,3013,0,452,9182180.52,0.0,98.95262525289581,98.95262525289581,98.15492201477589,99.52757192042574
consumption_pc_monthly,OBC,<,5000.0,99.83791203007193,3013,0,452,9182180.52,0.0,99.83791203007192,99.83791203007192,99.50062056419023,99.99528372632564
consumption_pc_monthly,OBC,<=,5000.0,99.83805905397296,3013,0,452,9182180.52,0.0,99.83805905397296,99.83805905397296,99.50062056419023,99.9953411156406
consumption_pc_monthly,Others,<,500.0,0.0,929,0,220,1975924.48,0.0,0.0,0.0,0.0,0.0
consumption_pc_monthly,Others,<=,500.0,0.5029291402877907,929,0,220,1975924.48,0.0,0.5029291402877908,0.5029291402877908,0.0,1.6310694952711593
consumption_pc_monthly,Others,<,1000.0,4.227577564097997,929,0,220,1975924.48,0.0,4.227577564097997,4.227577564097997,1.576675248820679,7.50948360114077
consumption_pc_monthly,Others,<=,1000.0,12.009679135105406,929,0,220,1975924.48,0.0,12.009679135105406,12.009679135105406,6.528183044908874,18.764142250464857
consumption_pc_monthly,Others,<,1500.0,41.791916055415236,929,0,220,1975924.48,0.0,41.791916055415236,41.791916055415236,32.801872275947346,51.01649337994674
consumption_pc_monthly,Others,<=,1500.0,47.71365249748816,929,0,220,1975924.48,0.0,47.71365249748816,47.71365249748816,38.68643065601241,56.98914702699721
consumption_pc_monthly,Others,<,2000.0,74.42858393049515,929,0,220,1975924.48,0.0,74.42858393049517,74.42858393049517,66.62309341619947,81.48584471840996
consumption_pc_monthly,Others,<=,2000.0,80.35355328964799,929,0,220,1975924.48,0.0,80.35355328964799,80.35355328964799,73.10786294184194,86.57920809793987
consumption_pc_monthly,Others,<,3000.0,96.16564697857278,929,0,220,1975924.48,0.0,96.16564697857278,96.16564697857278,93.47503117275147,97.98118917508711
consumption_pc_monthly,Others,<=,3000.0,96.72465214864891,929,0,220,1975924.48,0.0,96.7246521486489,96.7246521486489,94.04979408664228,98.52586622218904
consumption_pc_monthly,Others,<,5000.0,99.39442068150296,929,0,220,1975924.48,0.0,99.39442068150296,99.39442068150296,98.58340364077624,99.89764911803782
consumption_pc_monthly,Others,<=,5000.0,99.40337851373752,929,0,220,1975924.48,0.0,99.40337851373754,99.40337851373754,98.60337794981626,99.90498694275709
