outcome,group,relation,threshold,percent,n,n_missing,psus,weight_sum,missing_weight_percent,missing_bound_low,missing_bound_high,ci_low,ci_high
owned_land_acres,ST,<,0.0,0.0,130,0,34,343737.67000000004,0.0,0.0,0.0,0.0,0.0
owned_land_acres,ST,<=,0.0,7.179602980377448,130,0,34,343737.67000000004,0.0,7.179602980377448,7.179602980377448,0.0,21.507401163435567
owned_land_acres,ST,<,0.1,67.47017863942581,130,0,34,343737.67000000004,0.0,67.47017863942581,67.47017863942581,44.43580666283714,82.51718712685916
owned_land_acres,ST,<=,0.1,68.95037718734753,130,0,34,343737.67000000004,0.0,68.95037718734754,68.95037718734754,47.496268458178854,82.77414284996377
owned_land_acres,ST,<,0.5,76.11077947901373,130,0,34,343737.67000000004,0.0,76.11077947901374,76.11077947901374,60.320741357438685,86.79837496292642
owned_land_acres,ST,<=,0.5,76.11077947901373,130,0,34,343737.67000000004,0.0,76.11077947901374,76.11077947901374,60.320741357438685,86.79837496292642
owned_land_acres,ST,<,1.0,87.12782919602613,130,0,34,343737.67000000004,0.0,87.12782919602613,87.12782919602613,71.29924713747303,96.06724940763138
owned_land_acres,ST,<=,1.0,87.48536929339166,130,0,34,343737.67000000004,0.0,87.48536929339166,87.48536929339166,72.16466957982372,96.23548617425038
owned_land_acres,ST,<,2.0,91.88443617483063,130,0,34,343737.67000000004,0.0,91.88443617483061,91.88443617483061,82.07348844872851,97.20845828632909
owned_land_acres,ST,<=,2.0,91.88443617483063,130,0,34,343737.67000000004,0.0,91.88443617483061,91.88443617483061,82.07348844872851,97.20845828632909
owned_land_acres,ST,<,5.0,99.03902007597827,130,0,34,343737.67000000004,0.0,99.03902007597827,99.03902007597827,97.57454299995982,100.0
owned_land_acres,ST,<=,5.0,99.03902007597827,130,0,34,343737.67000000004,0.0,99.03902007597827,99.03902007597827,97.57454299995982,100.0
owned_land_acres,SC,<,0.0,0.0,1035,4,280,4252383.11,1.0311372723267824,0.0,1.0311372723267824,0.0,0.0
owned_land_acres,SC,<=,0.0,5.534828916202708,1035,4,280,4252383.11,1.0311372723267824,5.477757232288221,6.508894504615003,3.017780298268056,8.220431838645597
owned_land_acres,SC,<,0.1,70.04544141367356,1035,4,280,4252383.11,1.0311372723267824,69.32317675969135,70.35431403201814,64.80412580785358,74.8998036069367
owned_land_acres,SC,<=,0.1,71.74462744961846,1035,4,280,4252383.11,1.0311372723267824,71.00484185509346,72.03597912742025,66.35087649177724,76.61593618859881
owned_land_acres,SC,<,0.5,85.7137796787082,1035,4,280,4252383.11,1.0311372723267824,84.82995294892098,85.86109022124776,81.3843343029765,89.26607839165705
owned_land_acres,SC,<=,0.5,86.72744069854043,1035,4,280,4252383.11,1.0311372723267824,85.83316173216268,86.86429900448947,82.527331085662,90.22571412040152
owned_land_acres,SC,<,1.0,95.45668075988571,1035,4,280,4252383.11,1.0311372723267824,94.47239134564454,95.50352861797133,93.24141907324015,97.29840549161558
owned_land_acres,SC,<=,1.0,95.45668075988571,1035,4,280,4252383.11,1.0311372723267824,94.47239134564454,95.50352861797133,93.24141907324015,97.29840549161558
owned_land_acres,SC,<,2.0,98.84605999199351,1035,4,280,4252383.11,1.0311372723267824,97.82682142518958,98.85795869751637,98.24212347838274,99.37232993020915
owned_land_acres,SC,<=,2.0,98.84640097726283,1035,4,280,4252383.11,1.0311372723267824,97.82715889443269,98.85829616675947,98.24217417394698,99.3723471113543
owned_land_acres,SC,<,5.0,99.92998043866278,1035,4,280,4252383.11,1.0311372723267824,98.89956516413088,99.93070243645765,99.84768783231019,99.9857721767549
owned_land_acres,SC,<=,5.0,99.92998043866278,1035,4,280,4252383.11,1.0311372723267824,98.89956516413088,99.93070243645765,99.84768783231019,99.9857721767549
owned_land_acres,OBC,<,0.0,0.0,3010,3,452,9181558.52,0.006773990106654972,0.0,0.006773990106654972,0.0,0.0
owned_land_acres,OBC,<=,0.0,2.8151262058285065,3010,3,452,9181558.52,0.006773990106654972,2.814935509457834,2.8217094995644887,1.4251661920534682,4.431263806974819
owned_land_acres,OBC,<,0.1,45.08430830107044,3010,3,452,9181558.52,0.006773990106654972,45.08125429448648,45.088028284593136,40.95064286486808,49.34244856069855
owned_land_acres,OBC,<=,0.1,46.027880896194524,3010,3,452,9181558.52,0.006773990106654972,46.024762972096305,46.03153696220296,41.93166086021222,50.341242281145675
owned_land_acres,OBC,<,0.5,65.7562476658919,3010,3,452,9181558.52,0.006773990106654972,65.75179334418053,65.75856733428718,62.25371989295207,69.2785188727229
