outcome,group,pooled_quantile,threshold,percent_strictly_below
owned_land_acres,OBC,0.25,0.02,10.772567509595312
owned_land_acres,OBC,0.5,0.1,45.08430830107042
owned_land_acres,OBC,0.75,0.61,72.32837753562566
owned_land_acres,ST,0.25,0.02,24.230189842154907
owned_land_acres,ST,0.5,0.1,67.47017863942582
owned_land_acres,ST,0.75,0.61,76.85153332190794
owned_land_acres,Others,0.25,0.02,3.4918546077226593
owned_land_acres,Others,0.5,0.1,23.38701527702111
owned_land_acres,Others,0.75,0.61,52.20991492549349
owned_land_acres,SC,0.25,0.02,27.72027165727313
owned_land_acres,SC,0.5,0.1,70.04544141367366
owned_land_acres,SC,0.75,0.61,90.87866662136193
consumption_pc_monthly,OBC,0.25,1142.857142857143,23.984678859265138
consumption_pc_monthly,OBC,0.5,1400.0,49.479922880017504
consumption_pc_monthly,OBC,0.75,1625.0,75.4527823201627
consumption_pc_monthly,ST,0.25,1142.857142857143,13.156573732521082
consumption_pc_monthly,ST,0.5,1400.0,30.86980254448107
consumption_pc_monthly,ST,0.75,1625.0,62.69623576607124
consumption_pc_monthly,Others,0.25,1142.857142857143,13.708268850437037
consumption_pc_monthly,Others,0.5,1400.0,33.95607407019928
consumption_pc_monthly,Others,0.75,1625.0,57.07358714438319
consumption_pc_monthly,SC,0.25,1142.857142857143,30.261765628932597
consumption_pc_monthly,SC,0.5,1400.0,59.7443778473589
consumption_pc_monthly,SC,0.75,1625.0,81.98118864515324
