outcome,relation,threshold,group_a,group_b,difference_pp,ci_low,ci_high
owned_land_acres,<,0.0,ST,SC,0.0,0.0,0.0
owned_land_acres,<,0.0,ST,OBC,0.0,0.0,0.0
owned_land_acres,<,0.0,ST,Others,0.0,0.0,0.0
owned_land_acres,<,0.0,SC,OBC,0.0,0.0,0.0
owned_land_acres,<,0.0,SC,Others,0.0,0.0,0.0
owned_land_acres,<,0.0,OBC,Others,0.0,0.0,0.0
owned_land_acres,<=,0.0,ST,SC,1.6447740641747401,-6.5536871290682965,16.64529660414081
owned_land_acres,<=,0.0,ST,OBC,4.364476774548941,-2.991657040377534,19.081366976471784
owned_land_acres,<=,0.0,ST,Others,7.16286853514197,-0.012773360463384939,21.500545608816484
owned_land_acres,<=,0.0,SC,OBC,2.719702710374201,-0.18195303829913076,5.549133345228018
owned_land_acres,<=,0.0,SC,Others,5.51809447096723,3.0023112816005413,8.213683483607527
owned_land_acres,<=,0.0,OBC,Others,2.7983917605930286,1.4125871485940942,4.42004433016335
owned_land_acres,<,0.1,ST,SC,-2.575262774247747,-25.611552985229427,13.215038577095257
owned_land_acres,<,0.1,ST,OBC,22.385870338355367,-1.708721682271716,37.94589949900161
owned_land_acres,<,0.1,ST,Others,44.0831633624047,20.26247743968458,62.48614785968834
owned_land_acres,<,0.1,SC,OBC,24.961133112603115,18.330448431033936,31.285414484577064
owned_land_acres,<,0.1,SC,Others,46.658426136652444,35.40817735493882,56.00994883104001
owned_land_acres,<,0.1,OBC,Others,21.69729302404933,11.597032155994386,31.193257355455838
owned_land_acres,<=,0.1,ST,SC,-2.7942502622709355,-23.929643324271428,12.231419353273097
owned_land_acres,<=,0.1,ST,OBC,22.922496291153003,0.8458939938869042,37.16791953526201
owned_land_acres,<=,0.1,ST,Others,43.991034611663665,20.986127956638267,61.61671879570564
owned_land_acres,<=,0.1,SC,OBC,25.71674655342394,19.017265624034398,32.104588864807205
owned_land_acres,<=,0.1,SC,Others,46.7852848739346,35.407438112591684,56.51147075839689
owned_land_acres,<=,0.1,OBC,Others,21.06853832051066,10.235572541091154,31.200620013342004
owned_land_acres,<,0.5,ST,SC,-9.603000199694478,-25.30904229375455,2.011193312061642
owned_land_acres,<,0.5,ST,OBC,10.354531813121824,-5.6144867893633466,21.39558183759158
