outcome,group,n,zero_percent,min,max,median,weight_only_effective_n
owned_land_acres,OBC,3010,2.815126205828506,0.0,22.28,0.18,875.0139026388769
owned_land_acres,ST,130,7.179602980377448,0.0,7.76,0.03,34.07272504458071
owned_land_acres,Others,929,0.01673444523547783,0.0,37.3,0.57,185.6299016768005
owned_land_acres,SC,1035,5.5348289162027084,0.0,8.87,0.03,329.46632412193105
consumption_pc_monthly,OBC,3013,0.0,466.6666666666667,20000.0,1400.0,875.1311998369954
consumption_pc_monthly,ST,130,0.0,642.8571428571429,3691.5,1500.0,34.07272504458071
consumption_pc_monthly,Others,929,0.0,500.0,8500.0,1540.0,185.6299016768005
consumption_pc_monthly,SC,1039,0.0,425.0,4500.0,1285.7142857142858,333.0957947776212
