cutoff,side,group,n_in_tail,psus_in_tail,population_share_pct,tail_composition_pct,lift,group_in_tail_pct,all_households_in_tail_pct
1000,below,Brahmin,490,297,4.920735312303578,3.310285800269402,0.6727217763557647,26.693396016336763,39.67969665102699
1000,below,Forward/General,2415,933,21.048673660494437,15.641292205867336,0.7431010836195329,29.486025579072507,39.67969665102699
1000,below,Not reported,14,12,0.14438094078529223,0.06610763088751595,0.4578695119172557,18.168123338630494,39.67969665102699
1000,below,OBC,6562,1505,42.072172377841966,44.05681398221895,1.047172311107525,41.551479646101456,39.67969665102699
1000,below,Others,173,111,1.463964572266931,1.089614138912922,0.7442899640840817,29.53319999526013,39.67969665102699
1000,below,SC,3514,1128,22.064121777569152,24.454420296661823,1.108334179043677,43.97836401241813,39.67969665102699
1000,below,ST,1868,443,8.285951358738656,11.381465945182063,1.3735858988815774,54.50347179174923,39.67969665102699
1000,at_or_above,Brahmin,1702,775,4.920735312303578,5.980115729202603,1.2152890471979256,73.30660398366325,60.32030334897301
1000,at_or_above,Forward/General,7250,1537,21.048673660494437,24.605738925147904,1.1689923708271277,70.5139744209275,60.32030334897301
1000,at_or_above,Not reported,72,44,0.14438094078529223,0.19587042310183742,1.3566224325488694,81.83187666136948,60.32030334897301
1000,at_or_above,OBC,10494,1973,42.072172377841966,40.76664219230739,0.968969270856521,58.448520353898544,60.32030334897301
1000,at_or_above,Others,395,203,1.463964572266931,1.7102185002475578,1.1682103055262503,70.46680000473985,60.32030334897301
1000,at_or_above,SC,5427,1501,22.064121777569152,20.49174374103511,0.9287359790529909,56.02163598758186,60.32030334897301
1000,at_or_above,ST,1776,576,8.285951358738656,6.249670488957601,0.7542489954839621,45.496528208250766,60.32030334897301
2000,below,Brahmin,1006,509,4.920735312303578,3.690067229982345,0.7499015890482612,50.912535082010244,67.89228856899206
2000,below,Forward/General,5015,1371,21.048673660494437,17.50852023163449,0.8318110924250612,56.47355872181079,67.89228856899206
2000,below,Not reported,34,21,0.14438094078529223,0.09627229153869953,0.6667936295128128,45.27014551084947,67.89228856899206
